Source : 日本民営鉄道協会　駅と電車内の迷惑行為ランキング,https://www.mintetsu.or.jp/activity/enquete/index.html,,
File URl:,https://github.com/ggcurrs/data/blob/master/mintetsu-enquete.csv,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
YEAR,ITEM,CATEGORY(by GGCS),PERCENT
YR2009,乗降時のマナー,乗降時のマナーが悪い,24.6 
YR2009,車内での化粧,車内での化粧,18.4 
YR2009,ゴミ・空き缶等の放置,ゴミ・空き缶等の放置,17.0 
YR2009,電車の床に座る,所構わず座りこむ,17.0 
YR2009,酔っ払って乗車する,酔って乗車,15.0 
YR2009,混雑した車内へのベビーカーを伴った乗車,混雑車内のベビーカー,14.7 
YR2009,喫煙,喫煙,13.8 
YR2009,荷物の持ち方・置き方,荷物の持ち方・置き方,13.4 
YR2009,混雑した車内で新聞や雑誌・書籍を読む,混雑車内で読書等,12.0 
YR2009,混雑した車内での飲み食い,混雑車内で飲食,11.8 
YR2009,携帯電話でのメールや電子機器（ゲーム・パソコンなど）の操作音,スマホ・ゲーム等,10.5 
YR2009,その他,その他,5.0 
YR2010,騒々しい会話・はしゃぎまわり等,騒々しい会話・はしゃぎまわり等,34.5 
YR2010,携帯電話の着信音や通話,スマホ・ゲーム等,29.8 
YR2010,座席の座り方,座席の座り方,29.2 
YR2010,ヘッドホンからの音もれ,へッドホンステレオの音漏れ,28.9 
YR2010,乗降時のマナー,乗降時のマナーが悪い,24.6 
YR2010,ゴミ・空き缶等の放置,ゴミ・空き缶等の放置,20.4 
YR2010,電車の床に座る,所構わず座りこむ,19.2 
YR2010,車内での化粧,車内での化粧,18.0 
YR2010,酔っ払って乗車する,酔って乗車,15.0 
YR2010,混雑した車内へのベビーカーを伴った乗車,混雑車内のベビーカー,14.9 
YR2010,荷物の持ち方・置き方,荷物の持ち方・置き方,13.3 
YR2010,喫煙,喫煙,12.5 
YR2010,携帯電話でのメールや電子機器の操作音,スマホ・ゲーム等,10.6 
YR2010,混雑した車内での飲み食い,混雑車内で飲食,10.4 
YR2010,混雑した車内で新聞や雑誌・書籍を読む,混雑車内で読書等,8.9 
YR2010,その他,その他,3.5 
YR2010,特にない,特にない,0.2 
YR2011,騒々しい会話・はしゃぎまわり等,騒々しい会話・はしゃぎまわり等,36.8 
YR2011,座席の座り方,座席の座り方,31.2 
YR2011,携帯電話の着信音や通話,スマホ・ゲーム等,28.8 
YR2011,ヘッドホンからの音もれ,へッドホンステレオの音漏れ,27.0 
YR2011,乗降時のマナー,乗降時のマナーが悪い,25.1 
YR2011,電車の床に座る,所構わず座りこむ,18.8 
YR2011,ゴミ・空き缶等の放置,ゴミ・空き缶等の放置,18.8 
YR2011,車内での化粧,車内での化粧,17.5 
YR2011,酔っ払って乗車する,酔って乗車,15.3 
YR2011,荷物の持ち方・置き方,荷物の持ち方・置き方,14.0 
YR2011,混雑した車内へのベビーカーを伴った乗車,混雑車内のベビーカー,13.7 
YR2011,喫煙,喫煙,12.5 
YR2011,混雑した車内での飲み食い,混雑車内で飲食,11.5 
YR2011,携帯電話でのメールや電子機器の操作音,スマホ・ゲーム等,10.0 
YR2011,混雑した車内で新聞や雑誌・書籍を読む,混雑車内で読書等,8.8 
YR2011,その他,その他,3.8 
YR2011,特にない,特にない,0.2 
YR2012,騒々しい会話・はしゃぎまわり等,騒々しい会話・はしゃぎまわり等,34.8 
YR2012,座席の座り方,座席の座り方,28.9 
YR2012,ヘッドホンからの音もれ,へッドホンステレオの音漏れ,26.6 
YR2012,乗降時のマナー,乗降時のマナーが悪い,26.5 
YR2012,携帯電話の着信音や通話,スマホ・ゲーム等,24.8 
YR2012,ゴミ・空き缶等の放置,ゴミ・空き缶等の放置,18.1 
YR2012,混雑した車内へのベビーカーを伴った乗車,混雑車内のベビーカー,17.1 
YR2012,荷物の持ち方・置き方,荷物の持ち方・置き方,17.0 
YR2012,電車の床に座る,所構わず座りこむ,16.6 
YR2012,車内での化粧,車内での化粧,16.5 
YR2012,喫煙,喫煙,14.6 
YR2012,酔っ払って乗車する,酔って乗車,14.0 
YR2012,携帯電話でのメールや電子機器の操作音,スマホ・ゲーム等,11.2 
YR2012,混雑した車内での飲み食い,混雑車内で飲食,11.1 
YR2012,混雑した車内で新聞や雑誌・書籍を読む,混雑車内で読書等,9.0 
YR2012,その他,その他,5.4 
YR2012,特にない,特にない,0.5 
YR2013,騒々しい会話・はしゃぎまわり等,騒々しい会話・はしゃぎまわり等,35.3 
YR2013,座席の座り方,座席の座り方,30.7 
YR2013,乗降時のマナー,乗降時のマナーが悪い,26.7 
YR2013,携帯電話・スマートフォンの着信音や通話,スマホ・ゲーム等,25.8 
YR2013,ヘッドホンからの音もれ,へッドホンステレオの音漏れ,24.1 
YR2013,荷物の持ち方・置き方,荷物の持ち方・置き方,20.5 
YR2013,混雑した車内へのベビーカーを伴った乗車,混雑車内のベビーカー,17.9 
YR2013,ゴミ・空き缶等の放置,ゴミ・空き缶等の放置,17.8 
YR2013,車内での化粧,車内での化粧,16.9 
YR2013,電車の床に座る,所構わず座りこむ,15.9 
YR2013,喫煙,喫煙,13.8 
YR2013,酔っ払って乗車する,酔って乗車,13.7 
YR2013,混雑した車内での飲み食い,混雑車内で飲食,9.9 
YR2013,混雑した車内で新聞や雑誌・書籍を読む,混雑車内で読書等,8.5 
YR2013,電子機器類（携帯ゲーム機・パソコン等）の操作音,スマホ・ゲーム等,7.3 
YR2013,その他,その他,6.2 
YR2013,特にない,特にない,0.3 
YR2014,騒々しい会話・はしゃぎまわり等,騒々しい会話・はしゃぎまわり等,33.2 
YR2014,座席の座り方,座席の座り方,31.7 
YR2014,乗降時のマナー,乗降時のマナーが悪い,27.9 
YR2014,携帯電話・スマートフォンの着信音や通話,スマホ・ゲーム等,24.7 
YR2014,ヘッドホンからの音もれ,へッドホンステレオの音漏れ,24.5 
YR2014,荷物の持ち方・置き方,荷物の持ち方・置き方,22.3 
YR2014,混雑した車内へのベビーカーを伴った乗車,混雑車内のベビーカー,19.5 
YR2014,ゴミ・空き缶等の放置,ゴミ・空き缶等の放置,16.9 
YR2014,車内での化粧,車内での化粧,16.5 
YR2014,酔っ払って乗車する,酔って乗車,14.6 
YR2014,喫煙,喫煙,13.2 
YR2014,電車の床に座る,所構わず座りこむ,13.1 
YR2014,混雑した車内での飲み食い,混雑車内で飲食,11.4 
YR2014,混雑した車内で新聞や雑誌・書籍を読む,混雑車内で読書等,9.6 
YR2014,電子機器類（携帯ゲーム機・パソコン等）の操作音,スマホ・ゲーム等,7.0 
YR2014,その他,その他,5.7 
YR2014,特にない,特にない,0.3 
YR2015,騒々しい会話・はしゃぎまわり等,騒々しい会話・はしゃぎまわり等,38.0 
YR2015,座席の座り方,座席の座り方,31.4 
YR2015,乗降時のマナー,乗降時のマナーが悪い,29.8 
YR2015,携帯電話・スマートフォンの着信音や通話,スマホ・ゲーム等,25.5 
YR2015,ヘッドホンからの音もれ,へッドホンステレオの音漏れ,25.1 
YR2015,荷物の持ち方・置き方,荷物の持ち方・置き方,23.9 
YR2015,ゴミ・空き缶等の放置,ゴミ・空き缶等の放置,19.7 
YR2015,車内での化粧,車内での化粧,16.5 
YR2015,電車の床に座る,所構わず座りこむ,16.2 
YR2015,喫煙,喫煙,14.8 
YR2015,酔っ払って乗車する,酔って乗車,14.4 
YR2015,混雑した車内での飲み食い,混雑車内で飲食,11.9 
YR2015,混雑した車内で新聞や雑誌・書籍を読む,混雑車内で読書等,8.2 
YR2015,その他,その他,7.4 
YR2015,電子機器類（携帯ゲーム機・パソコン等）の操作音,スマホ・ゲーム等,7.2 
YR2015,特にない,特にない,0.3 
YR2016,騒々しい会話・はしゃぎまわり等,騒々しい会話・はしゃぎまわり等,33.8 
YR2016,歩きながらの携帯電話・スマートフォンの操作,歩きスマホ,30.6 
YR2016,座席の座り方,座席の座り方,29.6 
YR2016,乗降時のマナー,乗降時のマナーが悪い,27.3 
YR2016,荷物の持ち方・置き方,荷物の持ち方・置き方,27.3 
YR2016,ヘッドホンからの音もれ,へッドホンステレオの音漏れ,22.6 
YR2016,携帯電話・スマートフォンの着信音や通話,スマホ・ゲーム等,19.3 
YR2016,車内での化粧,車内での化粧,15.7 
YR2016,ゴミ・空き缶等の放置,ゴミ・空き缶等の放置,15.4 
YR2016,酔っ払って乗車する,酔って乗車,13.7 
YR2016,喫煙,喫煙,13.0 
YR2016,電車の床に座る,所構わず座りこむ,11.8 
YR2016,混雑した車内での飲み食い,混雑車内で飲食,10.8 
YR2016,混雑した車内で新聞や雑誌・書籍を読む,混雑車内で読書等,7.8 
YR2016,その他,その他,6.8 
YR2016,電子機器類（携帯ゲーム機・パソコン等）の操作音,スマホ・ゲーム等,5.8 
YR2016,特にない,特にない,0.3 
YR2017,騒々しい会話・はしゃぎまわり等,騒々しい会話・はしゃぎまわり等,33.2 
YR2017,座席の座り方,座席の座り方,31.1 
YR2017,荷物の持ち方・置き方,荷物の持ち方・置き方,29.8 
YR2017,歩きながらの携帯電話・スマートフォンの操作,歩きスマホ,29.6 
YR2017,乗降時のマナー,乗降時のマナーが悪い,28.1 
YR2017,ヘッドホンからの音もれ,へッドホンステレオの音漏れ,20.1 
YR2017,携帯電話・スマートフォンの着信音や通話,スマホ・ゲーム等,18.5 
YR2017,ゴミ・空き缶等の放置,ゴミ・空き缶等の放置,16.0 
YR2017,酔っ払って乗車する,酔って乗車,15.3 
YR2017,喫煙,喫煙,15.3 
YR2017,車内での化粧,車内での化粧,13.7 
YR2017,電車の床に座る,所構わず座りこむ,11.8 
YR2017,混雑した車内での飲み食い,混雑車内で飲食,10.3 
YR2017,混雑した車内で新聞や雑誌・書籍を読む,混雑車内で読書等,7.9 
YR2017,その他,その他,6.4 
YR2017,電子機器類（ゲーム機・パソコン等）の操作音,スマホ・ゲーム等,4.8 
YR2017,特にない,特にない,0.4 
YR2018,荷物の持ち方・置き方,荷物の持ち方・置き方,37.3 
YR2018,騒々しい会話・はしゃぎまわり,騒々しい会話・はしゃぎまわり等,36.9 
YR2018,座席の座り方,座席の座り方,34.5 
YR2018,乗降時のマナー,乗降時のマナーが悪い,34.3 
YR2018,ヘッドホンからの音もれ,へッドホンステレオの音漏れ,23.2 
YR2018,スマートフォン等の使い方　[新規],スマホ・ゲーム等,21.5 
YR2018,酔っ払った状態での乗車,酔って乗車,15.4 
YR2018,車内での化粧,車内での化粧,15.1 
YR2018,ゴミ・空き缶等の放置,ゴミ・空き缶等の放置,14.2 
YR2018,混雑した車内での飲食,混雑車内で飲食,10.0 
YR2018,電車の床に座る,所構わず座りこむ,9.6 
YR2018,決められた場所以外での喫煙,喫煙,9.1 
YR2018,優先席のマナー　[新規],優先席のマナー,9.0 
YR2018,電子機器類（携帯電話・携帯ゲーム機・パソコン等）の操作音,スマホ・ゲーム等,6.7 
YR2018,その他,その他,6.3 
YR2018,混雑した車内での読書（新聞・雑誌・書籍等）,混雑車内で読書等,6.0 
YR2018,特にない,特にない,0.2 
,,,
,,,
,,,
,,,
META_DATA,,,
YEAR,DATE,SAMPLE#,REMARKS
YR2000,NaN,NaN,NaN
YR2001,NaN,NaN,NaN
YR2002,NaN,NaN,NaN
YR2003,NaN,NaN,NaN
YR2004,NaN,6232,NaN
YR2005,2005.10.1 - 11.30,c.a. 1000,NaN
